CN	LiaoNing	1900	1	1	-19.564	49.246
CN	LiaoNing	1900	1	2	-22.73	31.712
CN	LiaoNing	1900	1	3	-9.009	43.074
CN	LiaoNing	1900	1	4	-5.795	44.567
CN	LiaoNing	1900	1	5	-6.113	32.312
CN	LiaoNing	1900	1	6	-26.602	39.272
CN	LiaoNing	1900	1	7	-8.914	34.642
CN	LiaoNing	1900	1	8	-28.679	43.157
CN	LiaoNing	1900	1	9	-13.362	37
CN	LiaoNing	1900	1	10	-14.171	31.603
CN	LiaoNing	1900	1	11	-24.003	44.69
CN	LiaoNing	1900	1	12	-30.677	47.844
CN	LiaoNing	1900	1	13	-29.315	41.677
CN	LiaoNing	1900	1	14	-11.837	47.136
CN	LiaoNing	1900	1	15	-0.319	46.809
CN	LiaoNing	1900	1	16	-6.755	42.295
CN	LiaoNing	1900	1	17	-8.787	33.297
CN	LiaoNing	1900	1	18	-5.821	37.961
CN	LiaoNing	1900	1	19	-26.931	42.791
CN	LiaoNing	1900	1	20	-5.635	37.204
CN	LiaoNing	1900	1	21	-28.082	48.78
CN	LiaoNing	1900	1	22	-12.75	46.243
CN	LiaoNing	1900	1	23	-25.648	35.647
CN	LiaoNing	1900	1	24	-19.989	48.049
CN	LiaoNing	1900	1	25	-20.7	30.573
CN	LiaoNing	1900	1	26	-9.806	38.512
CN	LiaoNing	1900	1	27	-13.276	32.768
CN	LiaoNing	1900	1	28	-2.071	47.357
CN	LiaoNing	1900	1	29	-25.682	36.91
CN	LiaoNing	1900	1	30	-14.813	49.63
CN	LiaoNing	1900	1	31	-12.904	35.908
CN	LiaoNing	1900	2	1	-16.205	47.992
CN	LiaoNing	1900	2	2	-6.215	36.906
CN	LiaoNing	1900	2	3	-25.467	42.469
CN	LiaoNing	1900	2	4	-26.252	30.45
CN	LiaoNing	1900	2	5	-33.936	39.962
CN	LiaoNing	1900	2	6	-29.792	34.843
CN	LiaoNing	1900	2	7	-0.01	32.855
CN	LiaoNing	1900	2	8	-16.945	37.226
CN	LiaoNing	1900	2	9	-3.656	45.714
CN	LiaoNing	1900	2	10	-28.96	36.713
CN	LiaoNing	1900	2	11	-7.515	46.717
CN	LiaoNing	1900	2	12	-25.211	37.704
CN	LiaoNing	1900	2	13	-19.216	46.842
CN	LiaoNing	1900	2	14	-13.073	31.537
CN	LiaoNing	1900	2	15	-5.144	38.435
CN	LiaoNing	1900	2	16	-21.496	30.841
CN	LiaoNing	1900	2	17	-23.57	42.78
CN	LiaoNing	1900	2	18	-27.562	35.256
CN	LiaoNing	1900	2	19	-2.222	36.897
CN	LiaoNing	1900	2	20	-9.948	48.398
CN	LiaoNing	1900	2	21	-34.779	36.336
CN	LiaoNing	1900	2	22	-17.085	32.609
CN	LiaoNing	1900	2	23	-22.451	40.731
CN	LiaoNing	1900	2	24	-24.741	39.099
CN	LiaoNing	1900	2	25	-33.035	43.677
CN	LiaoNing	1900	2	26	-31.43	38.798
CN	LiaoNing	1900	2	27	-1.137	35.08
CN	LiaoNing	1900	2	28	-16.845	39.046
CN	LiaoNing	1900	3	1	-16.029	47.784
